"","adsh","cik","name","sic","countryba","stprba","cityba","zipba","bas1","bas2","baph","countryma","stprma","cityma","zipma","mas1","mas2","countryinc","stprinc","ein","former","changed","afs","wksi","fye","form","period","fy","fp","filed","accepted","prevrpt","detail","instance","nciks","aciks","Quarter_Year"
"13","0001267130-17-000076",1267130,"CABELAS INC",5940,"US","NE","SIDNEY","69160","ONE CABELA DRIVE","","308-254-5505","US","NE","SIDNEY","69160","ONE CABELA DRIVE","","US","DE",200486586,"",NA,"1-LAF",1,1231,"10-Q",2017-06-30,2017,"Q2",2017-08-03,2017-08-03 10:28:00,0,1,"cab-20170803.xml",1,"","Q2_2017"
"14","0001140361-17-030210",788329,"JOHNSON OUTDOORS INC",3949,"US","WI","RACINE","53403-1015","555 MAIN STREET","","2626316600","US","WI","RACINE","53403-1015","555 MAIN STREET","STE 023","US","WI",391536083,"JOHNSON WORLDWIDE ASSOCIATES INC",19920703,"2-ACC",0,930,"10-Q",2017-06-30,2017,"Q3",2017-08-04,2017-08-04 14:27:00,0,1,"jout-20170630.xml",1,"","Q2_2017"
"15","0001564590-17-015610",1065837,"SKECHERS USA INC",3140,"US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","3103183100","US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","US","DE",954376145,"",NA,"1-LAF",0,1231,"10-Q",2017-06-30,2017,"Q2",2017-08-04,2017-08-04 14:03:00,0,1,"skx-20170630.xml",1,"","Q2_2017"
"16","0001616318-17-000139",1616318,"VISTA OUTDOOR INC.",3480,"US","UT","FARMINGTON","84025","262 NORTH UNIVERSITY DR","","801-447-3000","US","UT","FARMINGTON","84025","262 NORTH UNIVERSITY DR","","US","DE",471016855,"",NA,"1-LAF",1,331,"10-Q",2017-06-30,2017,"Q1",2017-08-10,2017-08-10 16:53:00,0,1,"vsto-20170702.xml",1,"","Q2_2017"
"17","0001564590-17-018410",1092796,"AMERICAN OUTDOOR BRANDS CORP",3480,"US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","844-363-5386","US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","US","NV",870543688,"AMERICAN OUTDOOR BRANDS CORPORATON",20170103,"1-LAF",0,430,"10-Q",2017-07-31,2018,"Q1",2017-09-07,2017-09-07 16:17:00,0,1,"aobc-20170731.xml",1,"","Q3_2017"
"18","0000320187-17-000184",320187,"NIKE INC",3021,"US","OR","BEAVERTON","97005-6453","ONE BOWERMAN DR","","5036713173","US","OR","BEAVERTON","97005-6453","ONE BOWERMAN DR","","US","OR",930584541,"",NA,"1-LAF",0,531,"10-Q",2017-08-31,2018,"Q1",2017-10-06,2017-10-06 16:17:00,0,1,"nke-20170831.xml",1,"","Q3_2017"
"19","0001050797-17-000043",1050797,"COLUMBIA SPORTSWEAR CO",2300,"US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","503 985 4000","US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","US","OR",930498284,"",NA,"1-LAF",0,1231,"10-Q",2017-09-30,2017,"Q3",2017-11-02,2017-11-02 14:42:00,0,1,"colm-20170930.xml",1,"","Q3_2017"
"20","0001359841-17-000118",1359841,"HANESBRANDS INC.",5600,"US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","(336) 519-4400","US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","US","MD",203552316,"",NA,"1-LAF",0,1231,"10-Q",2017-09-30,2017,"Q3",2017-11-03,2017-11-02 17:46:00,0,1,"hbi-20170930.xml",1,"","Q3_2017"
"21","0001564590-17-021466",1065837,"SKECHERS USA INC",3140,"US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","3103183100","US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","US","DE",954376145,"",NA,"1-LAF",0,1231,"10-Q",2017-09-30,2017,"Q3",2017-11-03,2017-11-03 14:01:00,0,1,"skx-20170930.xml",1,"","Q3_2017"
"22","0001616318-17-000155",1616318,"VISTA OUTDOOR INC.",3480,"US","UT","FARMINGTON","84025","262 NORTH UNIVERSITY AVENUE","","801-447-3000","US","UT","FARMINGTON","84025","262 NORTH UNIVERSITY AVENUE","","US","DE",471016855,"",NA,"1-LAF",1,331,"10-Q",2017-09-30,2017,"Q2",2017-11-09,2017-11-09 17:11:00,0,1,"vsto-20171001.xml",1,"","Q3_2017"
"23","0001564590-17-024701",1092796,"AMERICAN OUTDOOR BRANDS CORP",3480,"US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","844-363-5386","US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","US","NV",870543688,"AMERICAN OUTDOOR BRANDS CORPORATON",20170103,"1-LAF",0,430,"10-Q",2017-10-31,2018,"Q2",2017-12-07,2017-12-07 16:18:00,0,1,"aobc-20171031.xml",1,"","Q4_2017"
"24","0001140361-17-045474",788329,"JOHNSON OUTDOORS INC",3949,"US","WI","RACINE","53403-1015","555 MAIN STREET","","2626316600","US","WI","RACINE","53403-1015","555 MAIN STREET","STE 023","US","WI",391536083,"JOHNSON WORLDWIDE ASSOCIATES INC",19920703,"2-ACC",0,930,"10-K",2017-09-30,2017,"FY",2017-12-08,2017-12-08 16:16:00,0,1,"jout-20170930.xml",1,"","Q3_2017"
"25","0000320187-18-000007",320187,"NIKE INC",3021,"US","OR","BEAVERTON","97005-6453","ONE BOWERMAN DR","","5036713173","US","OR","BEAVERTON","97005-6453","ONE BOWERMAN DR","","US","OR",930584541,"",NA,"1-LAF",0,531,"10-Q",2017-11-30,2018,"Q2",2018-01-05,2018-01-05 16:12:00,0,1,"nke-20171130.xml",1,"","Q4_2017"
"26","0001140361-18-004657",788329,"JOHNSON OUTDOORS INC",3949,"US","WI","RACINE","53403-1015","555 MAIN STREET","","2626316600","US","WI","RACINE","53403-1015","555 MAIN STREET","STE 023","US","WI",391536083,"JOHNSON WORLDWIDE ASSOCIATES INC",19920703,"2-ACC",0,930,"10-Q",2017-12-31,2018,"Q1",2018-02-02,2018-02-02 13:27:00,0,1,"jout-20171230.xml",1,"","Q4_2017"
"27","0001616318-18-000008",1616318,"VISTA OUTDOOR INC.",3480,"US","UT","FARMINGTON","84025","262 NORTH UNIVERSITY AVENUE","","801-447-3000","US","UT","FARMINGTON","84025","262 NORTH UNIVERSITY AVENUE","","US","DE",471016855,"",NA,"1-LAF",1,331,"10-Q",2017-12-31,2017,"Q3",2018-02-08,2018-02-08 16:06:00,0,1,"vsto-20171231.xml",1,"","Q4_2017"
"28","0001359841-18-000018",1359841,"HANESBRANDS INC.",5600,"US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","(336) 519-4400","US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","US","MD",203552316,"",NA,"1-LAF",1,1231,"10-K",2017-12-31,2017,"FY",2018-02-09,2018-02-08 18:09:00,0,1,"hbi-20171230.xml",1,"","Q4_2017"
"29","0001050797-18-000004",1050797,"COLUMBIA SPORTSWEAR CO",2300,"US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","503 985 4000","US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","US","OR",930498284,"",NA,"1-LAF",1,1231,"10-K",2017-12-31,2017,"FY",2018-02-22,2018-02-22 15:22:00,0,1,"colm-20171231.xml",1,"","Q4_2017"
"30","0001564590-18-004045",1065837,"SKECHERS USA INC",3140,"US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","3103183100","US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","US","DE",954376145,"",NA,"1-LAF",1,1231,"10-K",2017-12-31,2017,"FY",2018-03-01,2018-03-01 14:02:00,0,1,"skx-20171231.xml",1,"","Q4_2017"
"31","0001564590-18-004151",1092796,"AMERICAN OUTDOOR BRANDS CORP",3480,"US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","844-363-5386","US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","US","NV",870543688,"AMERICAN OUTDOOR BRANDS CORPORATON",20170103,"1-LAF",0,430,"10-Q",2018-01-31,2018,"Q3",2018-03-01,2018-03-01 17:12:00,0,1,"aobc-20180131.xml",1,"","Q1_2018"
"32","0000320187-18-000041",320187,"NIKE INC",3021,"US","OR","BEAVERTON","97005-6453","ONE BOWERMAN DR","","5036713173","US","OR","BEAVERTON","97005-6453","ONE BOWERMAN DR","","US","OR",930584541,"",NA,"1-LAF",0,531,"10-Q",2018-02-28,2018,"Q3",2018-04-05,2018-04-05 16:10:00,0,1,"nke-20180228.xml",1,"","Q1_2018"
"33","0001359841-18-000032",1359841,"HANESBRANDS INC.",5600,"US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","(336) 519-4400","US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","US","MD",203552316,"",NA,"1-LAF",0,1231,"10-Q",2018-03-31,2018,"Q1",2018-05-01,2018-05-01 17:16:00,0,1,"hbi-20180331.xml",1,"","Q1_2018"
"34","0001050797-18-000027",1050797,"COLUMBIA SPORTSWEAR CO",2300,"US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","503 985 4000","US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","US","OR",930498284,"",NA,"1-LAF",0,1231,"10-Q",2018-03-31,2018,"Q1",2018-05-03,2018-05-03 14:35:00,0,1,"colm-20180331.xml",1,"","Q1_2018"
"35","0001140361-18-021694",788329,"JOHNSON OUTDOORS INC",3949,"US","WI","RACINE","53403-1015","555 MAIN STREET","","2626316600","US","WI","RACINE","53403-1015","555 MAIN STREET","STE 023","US","WI",391536083,"JOHNSON WORLDWIDE ASSOCIATES INC",19920703,"2-ACC",0,930,"10-Q",2017-12-31,2018,"Q1",2018-05-04,2018-05-04 14:17:00,0,1,"jout-20171230.xml",1,"","Q4_2017"
"36","0001564590-18-010930",1065837,"SKECHERS USA INC",3140,"US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","3103183100","US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","US","DE",954376145,"",NA,"1-LAF",0,1231,"10-Q",2018-03-31,2018,"Q1",2018-05-04,2018-05-04 13:20:00,0,1,"skx-20180331.xml",1,"","Q1_2018"
"37","0001140361-18-021965",788329,"JOHNSON OUTDOORS INC",3949,"US","WI","RACINE","53403-1015","555 MAIN STREET","","2626316600","US","WI","RACINE","53403-1015","555 MAIN STREET","STE 023","US","WI",391536083,"JOHNSON WORLDWIDE ASSOCIATES INC",19920703,"2-ACC",0,930,"10-Q/A",2018-03-31,2018,"Q2",2018-05-07,2018-05-07 15:58:00,0,1,"jout-20180330.xml",1,"","Q1_2018"
"38","0001616318-18-000051",1616318,"VISTA OUTDOOR INC.",3480,"US","UT","FARMINGTON","84025","262 NORTH UNIVERSITY AVENUE","","801-447-3000","US","UT","FARMINGTON","84025","262 NORTH UNIVERSITY AVENUE","","US","DE",471016855,"",NA,"1-LAF",1,331,"10-K",2018-03-31,2017,"FY",2018-05-18,2018-05-17 19:16:00,0,1,"vsto-20180331.xml",1,"","Q1_2018"
"39","0001690511-18-000006",1690511,"CANADA GOOSE HOLDINGS INC.",2300,"CA","ON","TORONTO","M6E 4Y2","250 BOWIE AVENUE","","416-780-9850","CA","ON","TORONTO","M6E 4Y2","250 BOWIE AVENUE","","CA","BC",0,"CANADA GOOSE HOLDINGS, INC.",20161118,"1-LAF",1,331,"20-F",2018-03-31,2017,"FY",2018-06-15,2018-06-15 07:58:00,1,1,"goos-20180331.xml",1,"","Q1_2018"
"40","0001564590-18-015882",1092796,"AMERICAN OUTDOOR BRANDS CORP",3480,"US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","844-363-5386","US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","US","NV",870543688,"AMERICAN OUTDOOR BRANDS CORPORATON",20170103,"1-LAF",0,430,"10-K",2018-04-30,2018,"FY",2018-06-20,2018-06-20 16:18:00,0,1,"aobc-20180430.xml",1,"","Q2_2018"
"41","0001690511-18-000011",1690511,"CANADA GOOSE HOLDINGS INC.",2300,"CA","ON","TORONTO","M6E 4Y2","250 BOWIE AVENUE","","416-780-9850","CA","ON","TORONTO","M6E 4Y2","250 BOWIE AVENUE","","CA","BC",0,"CANADA GOOSE HOLDINGS, INC.",20161118,"1-LAF",1,331,"20-F/A",2018-03-31,2017,"FY",2018-06-20,2018-06-19 19:12:00,0,1,"goos-20180331.xml",1,"","Q1_2018"
"42","0000320187-18-000142",320187,"NIKE INC",3021,"US","OR","BEAVERTON","97005-6453","ONE BOWERMAN DR","","5036713173","US","OR","BEAVERTON","97005-6453","ONE BOWERMAN DR","","US","OR",930584541,"",NA,"1-LAF",1,531,"10-K",2018-05-31,2018,"FY",2018-07-25,2018-07-24 18:23:00,0,1,"nke-20180531.xml",1,"","Q2_2018"
"43","0001050797-18-000038",1050797,"COLUMBIA SPORTSWEAR CO",2300,"US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","503 985 4000","US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","US","OR",930498284,"",NA,"1-LAF",0,1231,"10-Q",2018-06-30,2018,"Q2",2018-08-02,2018-08-02 14:58:00,0,1,"colm-20180630.xml",1,"","Q2_2018"
"44","0001359841-18-000078",1359841,"HANESBRANDS INC.",5600,"US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","(336) 519-4400","US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","US","MD",203552316,"",NA,"1-LAF",0,1231,"10-Q",2018-06-30,2018,"Q2",2018-08-02,2018-08-01 18:37:00,0,1,"hbi-20180630.xml",1,"","Q2_2018"
"45","0001564590-18-019120",1065837,"SKECHERS USA INC",3140,"US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","3103183100","US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","US","DE",954376145,"",NA,"1-LAF",0,1231,"10-Q",2018-06-30,2018,"Q2",2018-08-03,2018-08-03 14:29:00,0,1,"skx-20180630.xml",1,"","Q2_2018"
"46","0001140361-18-035711",788329,"JOHNSON OUTDOORS INC",3949,"US","WI","RACINE","53403-1015","555 MAIN STREET","","2626316600","US","WI","RACINE","53403-1015","555 MAIN STREET","STE 023","US","WI",391536083,"JOHNSON WORLDWIDE ASSOCIATES INC",19920703,"2-ACC",0,930,"10-Q",2018-06-30,2018,"Q3",2018-08-07,2018-08-07 11:14:00,0,1,"jout-20180629.xml",1,"","Q2_2018"
"47","0001616318-18-000072",1616318,"VISTA OUTDOOR INC.",3480,"US","UT","FARMINGTON","84025","262 NORTH UNIVERSITY AVENUE","","801-447-3000","US","UT","FARMINGTON","84025","262 NORTH UNIVERSITY AVENUE","","US","DE",471016855,"",NA,"1-LAF",1,331,"10-Q",2018-06-30,2018,"Q1",2018-08-09,2018-08-09 17:27:00,0,1,"vsto-20180701.xml",1,"","Q2_2018"
"48","0001564590-18-022505",1092796,"AMERICAN OUTDOOR BRANDS CORP",3480,"US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","844-363-5386","US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","US","NV",870543688,"AMERICAN OUTDOOR BRANDS CORPORATON",20170103,"1-LAF",0,430,"10-Q",2018-07-31,2019,"Q1",2018-08-30,2018-08-30 16:16:00,0,1,"aobc-20180731.xml",1,"","Q3_2018"
"49","0000320187-18-000213",320187,"NIKE INC",3021,"US","OR","BEAVERTON","97005-6453","ONE BOWERMAN DR","","5036713173","US","OR","BEAVERTON","97005-6453","ONE BOWERMAN DR","","US","OR",930584541,"",NA,"1-LAF",0,531,"10-Q",2018-08-31,2019,"Q1",2018-10-05,2018-10-05 16:28:00,0,1,"nke-20180831.xml",1,"","Q3_2018"
"50","0001050797-18-000052",1050797,"COLUMBIA SPORTSWEAR CO",2300,"US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","503 985 4000","US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","US","OR",930498284,"",NA,"1-LAF",0,1231,"10-Q",2018-09-30,2018,"Q3",2018-11-01,2018-11-01 15:34:00,0,1,"colm-20180930.xml",1,"","Q3_2018"
"51","0001359841-18-000094",1359841,"HANESBRANDS INC.",5600,"US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","(336) 519-4400","US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","US","MD",203552316,"",NA,"1-LAF",0,1231,"10-Q",2018-09-30,2018,"Q3",2018-11-01,2018-11-01 17:26:00,0,1,"hbi-20180929.xml",1,"","Q3_2018"
"52","0001564590-18-026457",1065837,"SKECHERS USA INC",3140,"US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","3103183100","US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","US","DE",954376145,"",NA,"1-LAF",0,1231,"10-Q",2018-09-30,2018,"Q3",2018-11-02,2018-11-02 15:05:00,0,1,"skx-20180930.xml",1,"","Q3_2018"
"53","0001616318-18-000098",1616318,"VISTA OUTDOOR INC.",3480,"US","UT","FARMINGTON","84025","262 NORTH UNIVERSITY AVENUE","","801-447-3000","US","UT","FARMINGTON","84025","262 NORTH UNIVERSITY AVENUE","","US","DE",471016855,"",NA,"1-LAF",0,331,"10-Q",2018-09-30,2019,"Q2",2018-11-08,2018-11-08 16:41:00,0,1,"vsto-20180930.xml",1,"","Q3_2018"
"54","0001564590-18-030605",1092796,"AMERICAN OUTDOOR BRANDS CORP",3480,"US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","844-363-5386","US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","US","NV",870543688,"AMERICAN OUTDOOR BRANDS CORPORATON",20170103,"1-LAF",0,430,"10-Q",2018-10-31,2019,"Q2",2018-12-06,2018-12-06 16:17:00,0,1,"aobc-20181031.xml",1,"","Q4_2018"
"55","0001140361-18-044715",788329,"JOHNSON OUTDOORS INC",3949,"US","WI","RACINE","53403-1015","555 MAIN STREET","","2626316600","US","WI","RACINE","53403-1015","555 MAIN STREET","STE 023","US","WI",391536083,"JOHNSON WORLDWIDE ASSOCIATES INC",19920703,"2-ACC",0,930,"10-K",2018-09-30,2018,"FY",2018-12-07,2018-12-07 15:07:00,0,1,"jout-20180928.xml",1,"","Q3_2018"
"56","0000320187-19-000007",320187,"NIKE INC",3021,"US","OR","BEAVERTON","97005-6453","ONE BOWERMAN DR","","5036713173","US","OR","BEAVERTON","97005-6453","ONE BOWERMAN DR","","US","OR",930584541,"",NA,"1-LAF",0,531,"10-Q",2018-11-30,2019,"Q2",2019-01-08,2019-01-08 16:09:00,0,1,"nke-20181130.xml",1,"","Q4_2018"
"57","0001140361-19-002373",788329,"JOHNSON OUTDOORS INC",3949,"US","WI","RACINE","53403-1015","555 MAIN STREET","","2626316600","US","WI","RACINE","53403-1015","555 MAIN STREET","STE 023","US","WI",391536083,"JOHNSON WORLDWIDE ASSOCIATES INC",19920703,"2-ACC",0,930,"10-Q",2018-12-31,2019,"Q1",2019-02-04,2019-02-04 14:18:00,0,1,"jout-20181228.xml",1,"","Q4_2018"
"58","0001616318-19-000013",1616318,"VISTA OUTDOOR INC.",3480,"US","MN","ANOKA","55303","1 VISTA WAY","","801-447-3000","US","MN","ANOKA","55303","1 VISTA WAY","","US","DE",471016855,"",NA,"1-LAF",0,331,"10-Q",2018-12-31,2019,"Q3",2019-02-07,2019-02-07 16:47:00,0,1,"vsto-20181230.xml",1,"","Q4_2018"
"59","0001359841-19-000025",1359841,"HANESBRANDS INC.",5600,"US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","(336) 519-4400","US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","US","MD",203552316,"",NA,"1-LAF",1,1231,"10-K",2018-12-31,2018,"FY",2019-02-11,2019-02-08 18:39:00,0,1,"hbi-20181229.xml",1,"","Q4_2018"
"60","0001050797-19-000007",1050797,"COLUMBIA SPORTSWEAR CO",2300,"US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","503 985 4000","US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","US","OR",930498284,"",NA,"1-LAF",1,1231,"10-K",2018-12-31,2018,"FY",2019-02-21,2019-02-21 15:41:00,0,1,"colm-20181231.xml",1,"","Q4_2018"
"61","0001564590-19-005775",1065837,"SKECHERS USA INC",3140,"US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","3103183100","US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","US","DE",954376145,"",NA,"1-LAF",1,1231,"10-K",2018-12-31,2018,"FY",2019-03-01,2019-03-01 15:02:00,0,1,"skx-20181231.xml",1,"","Q4_2018"
"62","0001564590-19-006791",1092796,"AMERICAN OUTDOOR BRANDS CORP",3480,"US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","844-363-5386","US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","US","NV",870543688,"AMERICAN OUTDOOR BRANDS CORPORATON",20170103,"1-LAF",0,430,"10-Q",2019-01-31,2019,"Q3",2019-03-07,2019-03-07 16:17:00,0,1,"aobc-20190131.xml",1,"","Q1_2019"
"63","0000320187-19-000030",320187,"NIKE INC",3021,"US","OR","BEAVERTON","97005-6453","ONE BOWERMAN DR","","5036713173","US","OR","BEAVERTON","97005-6453","ONE BOWERMAN DR","","US","OR",930584541,"",NA,"1-LAF",0,531,"10-Q",2019-02-28,2019,"Q3",2019-04-04,2019-04-04 16:07:00,0,1,"nke-20190228.xml",1,"","Q1_2019"
"64","0001050797-19-000024",1050797,"COLUMBIA SPORTSWEAR CO",2300,"US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","503 985 4000","US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","US","OR",930498284,"",NA,"1-LAF",0,1231,"10-Q",2019-03-31,2019,"Q1",2019-05-02,2019-05-02 13:50:00,0,1,"colm-20190331.xml",1,"","Q1_2019"
